type/area	field/reference	lifetime/ownership	reason	risk
Interpreter	globalEnvironment	strong for interpreter lifetime	Top-level bindings persist across forms	medium
Interpreter	heap registry	weak registrations plus explicit roots	Tracing safe-point collection breaks outgoing references of unreachable Scheme cycles	high: incomplete root/edge enumeration can free reachable state or leak cycles
Value	pair/string/closure reference	strong	Scheme values may outlive local Swift scopes	high
PairCell	car,cdr	strong and mutable	Pairs preserve identity, sharing, improper lists, and cycles	high: ARC cannot collect pair cycles
StringCell	characters	owned mutable buffer	Swift String value semantics cannot model Scheme string identity/mutation	medium
Environment	parent	strong	Escaped closures require all lexical ancestors; weak references would dangle	high
Environment	bindings	strong BindingCell values	Variables denote persistent locations rather than copied values	high
BindingCell	value	strong mutable; may begin undefined	Required by set! and mutually recursive letrec/internal definitions	high: environment-closure cycles
Closure	environment	strong	Lexical scope must survive the creator's return	high: closure may cycle through its defining binding
Closure	body/formals	owned immutable parsed data	Callable code must survive source-buffer/evaluator frames	medium
Primitive	Swift function value	static or interpreter-owned; avoid accidental captures of the interpreter	Built-ins need no Scheme lexical environment	low
SymbolPool	interned names	interpreter-owned strong table or canonical value strings	eq?/eqv? identity must be stable for equal symbol names	medium: unbounded unique symbols
Reader	source/cursor	borrowed only during one read; diagnostics copy offsets/line/column	String.Index is valid only for its originating String	medium
Writer	visited pair identities	strong/local set for one print only	Detect cycles without retaining graph after output	low
CLI	Interpreter	strong for process/session lifetime	File forms and REPL forms share top-level state	low
Continuation	frames,winds	strong immutable captured graph	Multi-shot call/cc must outlive the invocation and be reusable	high: captured environments can cycle
Wind	before,after procedures	strong while dynamic extent or continuation survives	dynamic-wind transitions replay thunks across jumps	high
Promise	state/environment	strong mutable state machine	Memoization and delayed lexical scope must survive return	high: self-reference cycles
SchemeVector	elements	strong mutable references	Vectors preserve identity, mutation, sharing, and cycles	high: ARC cannot collect vector cycles
SchemePort	handle/buffer/sink	owned until explicit or dynamic close	File and string ports retain stream position and lifetime	high: continuation re-entry must not reuse closed dynamic ports
SyntaxRules	definition environment/aliases	strong for macro binding lifetime	Definition-site hygiene and recursive syntax require lexical retention	high
HeapRegistry	nodes	weak references for interpreter lifetime	Registry must observe nodes without itself keeping unreachable graphs alive	high
HeapRootSet	globals,active evaluator state,pinned public values	strong only during mark/public pin lifetime	Collector correctness depends on complete roots and evaluator safe points	critical
HeapNode	outgoing Scheme references	strong while node is live; cleared only after unreachable sweep	Breaks ARC cycles without changing reachable object identity	critical
BigInt	limbs	owned value storage, normalized after each operation	No shared mutable state; arbitrary exact arithmetic is leak-free	low
Rational	numerator,denominator	owned immutable BigInt values	Canonical reduction makes equality and writer deterministic	low
SchemeNumber	real,imaginary components	owned value storage	Exact/inexact contagion and real canonicalization must be preserved	medium
